,sEth,dEth,typEth,Source,Destination,proto,type,code,sPort,dPort,priority,action
262,9e:8d:de:80:29:28,*,0x800,*,r4---sn-ntqe6n76.googlevideo.com,17,*,*,*,443,*,forward
263,9e:8d:de:80:29:28,*,0x800,*,clients3.google.com,6,*,*,*,443,*,forward
264,9e:8d:de:80:29:28,*,0x800,*,tools.google.com,6,*,*,*,80,*,forward
265,9e:8d:de:80:29:28,*,*,*,224.0.0.22/32,2,*,*,*,*,*,forward
266,9e:8d:de:80:29:28,*,0x800,*,239.255.255.250/32,17,*,*,*,1900,*,forward
267,9e:8d:de:80:29:28,ff:ff:ff:ff:ff:ff,0x800,*,255.255.255.255/32,17,*,*,*,67,*,forward
268,9e:8d:de:80:29:28,*,0x800,*,clients3.google.com,1,8,0,*,*,*,forward
269,9e:8d:de:80:29:28,*,0x800,*,clients3.google.com,17,*,*,*,443,*,forward
270,9e:8d:de:80:29:28,*,0x800,*,mtalk.google.com,6,*,*,*,5228,*,forward
271,9e:8d:de:80:29:28,*,0x800,*,storage.googleapis.com,17,*,*,*,443,*,forward
272,9e:8d:de:80:29:28,*,0x800,*,android.clients.google.com,1,8,0,*,*,*,forward
273,9e:8d:de:80:29:28,*,0x800,*,r3---sn-55goxu-ntqe.googlevideo.com,17,*,*,*,443,*,forward
274,*,*,0x800,*,*,1,8,0,*,*,*,forward
275,9e:8d:de:80:29:28,*,0x800,*,lh4.googleusercontent.com,17,*,*,*,443,*,forward
276,9e:8d:de:80:29:28,*,0x800,*,clients1.google.com,6,*,*,*,80,*,forward
277,9e:8d:de:80:29:28,*,0x800,*,www.googleapis.com,6,*,*,*,443,*,forward
278,9e:8d:de:80:29:28,*,0x800,*,android.clients.google.com,6,*,*,*,443,*,forward
279,9e:8d:de:80:29:28,*,0x800,*,pagead2.googlesyndication.com,6,*,*,*,443,*,forward
280,9e:8d:de:80:29:28,*,0x800,*,google.com,17,*,*,*,443,*,forward
281,9e:8d:de:80:29:28,*,0x800,*,cdn.ravenjs.com,6,*,*,*,443,*,forward
282,9e:8d:de:80:29:28,*,0x800,*,www.gstatic.com,17,*,*,*,443,*,forward
283,9e:8d:de:80:29:28,*,0x800,*,www.youtube.com,17,*,*,*,443,*,forward
284,9e:8d:de:80:29:28,*,0x800,*,yt3.ggpht.com,17,*,*,*,443,*,forward
285,9e:8d:de:80:29:28,*,0x800,*,lh3.googleusercontent.com,17,*,*,*,443,*,forward
286,9e:8d:de:80:29:28,*,0x800,*,googleads.g.doubleclick.net,17,*,*,*,443,*,forward
287,9e:8d:de:80:29:28,*,0x800,*,google.com,1,8,0,*,*,*,forward
288,9e:8d:de:80:29:28,*,0x800,*,lh6.googleusercontent.com,6,*,*,*,443,*,forward
289,9e:8d:de:80:29:28,*,0x800,*,224.0.0.251/32,17,*,*,*,5353,*,forward
290,9e:8d:de:80:29:28,*,0x800,*,fonts.gstatic.com,6,*,*,*,80,*,forward
291,9e:8d:de:80:29:28,*,0x800,*,clients4.google.com,1,8,0,*,*,*,forward
292,9e:8d:de:80:29:28,*,0x800,*,connectivitycheck.gstatic.com,6,*,*,*,80,*,forward
293,9e:8d:de:80:29:28,*,0x800,*,clients2.google.com,17,*,*,*,443,*,forward
294,9e:8d:de:80:29:28,*,*,*,224.0.0.2/32,2,*,*,*,*,*,forward
295,9e:8d:de:80:29:28,*,0x800,*,r1---sn-55goxu-ntqe.googlevideo.com,6,*,*,*,443,*,forward
296,9e:8d:de:80:29:28,*,0x800,*,clients1.google.com,6,*,*,*,443,*,forward
